dataset,group,method,value,accuracy,n_samples
vlm_bias,Animals,vcd,0.5,0.0,30
vlm_bias,Chess_Pieces,vcd,0.5,0.0,30
vlm_bias,Flags,vcd,0.5,0.3,30
vlm_bias,Game_Boards,vcd,0.5,0.1667,30
vlm_bias,Logos,vcd,0.5,0.3,30
vlm_bias,Optical_Illusion,vcd,0.5,0.0,30
vlm_bias,Patterned_Grid,vcd,0.5,0.1333,30
vlm_bias,Animals,vcd,1.0,0.0,30
vlm_bias,Chess_Pieces,vcd,1.0,0.0,30
vlm_bias,Flags,vcd,1.0,0.0,30
vlm_bias,Game_Boards,vcd,1.0,0.0,30
vlm_bias,Logos,vcd,1.0,0.0,30
vlm_bias,Optical_Illusion,vcd,1.0,0.0,30
vlm_bias,Patterned_Grid,vcd,1.0,0.0,30
vlm_bias,Animals,vcd,1.5,0.0,30
vlm_bias,Chess_Pieces,vcd,1.5,0.0,30
vlm_bias,Flags,vcd,1.5,0.0,30
vlm_bias,Game_Boards,vcd,1.5,0.0,30
vlm_bias,Logos,vcd,1.5,0.0,30
vlm_bias,Optical_Illusion,vcd,1.5,0.0,30
vlm_bias,Patterned_Grid,vcd,1.5,0.0,30
vlm_bias,Animals,vcd,2.0,0.0,30
vlm_bias,Chess_Pieces,vcd,2.0,0.0,30
vlm_bias,Flags,vcd,2.0,0.0,30
vlm_bias,Game_Boards,vcd,2.0,0.0,30
vlm_bias,Logos,vcd,2.0,0.0,30
vlm_bias,Optical_Illusion,vcd,2.0,0.0,30
vlm_bias,Patterned_Grid,vcd,2.0,0.0333,30
pope,adversarial,vcd,0.5,0.8,30
pope,popular,vcd,0.5,0.8,30
pope,random,vcd,0.5,0.8667,30
pope,adversarial,vcd,1.0,0.6,30
pope,popular,vcd,1.0,0.5,30
pope,random,vcd,1.0,0.6,30
pope,adversarial,vcd,1.5,0.0,30
pope,popular,vcd,1.5,0.0,30
pope,random,vcd,1.5,0.0,30
pope,adversarial,vcd,2.0,0.0,30
pope,popular,vcd,2.0,0.0,30
pope,random,vcd,2.0,0.0,30
mmbench,action_recognition,vcd,0.5,0.9667,30
mmbench,attribute_comparison,vcd,0.5,0.5333,30
mmbench,attribute_recognition,vcd,0.5,1.0,30
mmbench,celebrity_recognition,vcd,0.5,0.9667,30
mmbench,function_reasoning,vcd,0.5,0.9667,30
mmbench,future_prediction,vcd,0.5,0.7667,30
mmbench,identity_reasoning,vcd,0.5,1.0,30
mmbench,image_emotion,vcd,0.5,0.7667,30
mmbench,image_quality,vcd,0.5,0.6,30
mmbench,image_scene,vcd,0.5,1.0,30
mmbench,image_style,vcd,0.5,0.9333,30
mmbench,image_topic,vcd,0.5,0.9,30
mmbench,nature_relation,vcd,0.5,0.8,30
mmbench,object_localization,vcd,0.5,0.7333,30
mmbench,ocr,vcd,0.5,1.0,30
mmbench,physical_property_reasoning,vcd,0.5,0.6333,30
mmbench,physical_relation,vcd,0.5,0.5,30
mmbench,social_relation,vcd,0.5,0.9333,30
mmbench,spatial_relationship,vcd,0.5,0.5667,30
mmbench,structuralized_imagetext_understanding,vcd,0.5,0.8333,30
mmbench,action_recognition,vcd,1.0,0.1667,30
mmbench,attribute_comparison,vcd,1.0,0.1,30
mmbench,attribute_recognition,vcd,1.0,0.2333,30
mmbench,celebrity_recognition,vcd,1.0,0.2,30
mmbench,function_reasoning,vcd,1.0,0.1,30
mmbench,future_prediction,vcd,1.0,0.2,30
mmbench,identity_reasoning,vcd,1.0,0.1,30
mmbench,image_emotion,vcd,1.0,0.0333,30
mmbench,image_quality,vcd,1.0,0.1,30
mmbench,image_scene,vcd,1.0,0.1667,30
mmbench,image_style,vcd,1.0,0.2667,30
mmbench,image_topic,vcd,1.0,0.1,30
mmbench,nature_relation,vcd,1.0,0.1333,30
mmbench,object_localization,vcd,1.0,0.1,30
mmbench,ocr,vcd,1.0,0.2,30
mmbench,physical_property_reasoning,vcd,1.0,0.0667,30
mmbench,physical_relation,vcd,1.0,0.2,30
mmbench,social_relation,vcd,1.0,0.2333,30
mmbench,spatial_relationship,vcd,1.0,0.1333,30
mmbench,structuralized_imagetext_understanding,vcd,1.0,0.2333,30
mmbench,action_recognition,vcd,1.5,0.0,30
mmbench,attribute_comparison,vcd,1.5,0.0,30
mmbench,attribute_recognition,vcd,1.5,0.0667,30
mmbench,celebrity_recognition,vcd,1.5,0.0333,30
mmbench,function_reasoning,vcd,1.5,0.0,30
mmbench,future_prediction,vcd,1.5,0.0333,30
mmbench,identity_reasoning,vcd,1.5,0.0,30
mmbench,image_emotion,vcd,1.5,0.0,30
mmbench,image_quality,vcd,1.5,0.0,30
mmbench,image_scene,vcd,1.5,0.0,30
mmbench,image_style,vcd,1.5,0.0,30
mmbench,image_topic,vcd,1.5,0.0333,30
mmbench,nature_relation,vcd,1.5,0.0333,30
mmbench,object_localization,vcd,1.5,0.0,30
mmbench,ocr,vcd,1.5,0.0,30
mmbench,physical_property_reasoning,vcd,1.5,0.0,30
mmbench,physical_relation,vcd,1.5,0.0,30
mmbench,social_relation,vcd,1.5,0.0,30
mmbench,spatial_relationship,vcd,1.5,0.0,30
mmbench,structuralized_imagetext_understanding,vcd,1.5,0.0,30
mmbench,action_recognition,vcd,2.0,0.0,30
mmbench,attribute_comparison,vcd,2.0,0.0,30
mmbench,attribute_recognition,vcd,2.0,0.0,30
mmbench,celebrity_recognition,vcd,2.0,0.0,30
mmbench,function_reasoning,vcd,2.0,0.0,30
mmbench,future_prediction,vcd,2.0,0.0,30
mmbench,identity_reasoning,vcd,2.0,0.0,30
mmbench,image_emotion,vcd,2.0,0.0,30
mmbench,image_quality,vcd,2.0,0.0,30
mmbench,image_scene,vcd,2.0,0.0,30
mmbench,image_style,vcd,2.0,0.0,30
mmbench,image_topic,vcd,2.0,0.0,30
mmbench,nature_relation,vcd,2.0,0.0,30
mmbench,object_localization,vcd,2.0,0.0,30
mmbench,ocr,vcd,2.0,0.0,30
mmbench,physical_property_reasoning,vcd,2.0,0.0,30
mmbench,physical_relation,vcd,2.0,0.0,30
mmbench,social_relation,vcd,2.0,0.0,30
mmbench,spatial_relationship,vcd,2.0,0.0,30
mmbench,structuralized_imagetext_understanding,vcd,2.0,0.0,30
