dataset,group,method,value,accuracy,n_samples
vlm_bias,Animals,vhr_boost,1.0,0.0,30
vlm_bias,Chess_Pieces,vhr_boost,1.0,0.0,30
vlm_bias,Flags,vhr_boost,1.0,0.3,30
vlm_bias,Game_Boards,vhr_boost,1.0,0.1667,30
vlm_bias,Logos,vhr_boost,1.0,0.3,30
vlm_bias,Optical_Illusion,vhr_boost,1.0,0.0,30
vlm_bias,Patterned_Grid,vhr_boost,1.0,0.1333,30
vlm_bias,Animals,vhr_boost,2.0,0.0,30
vlm_bias,Chess_Pieces,vhr_boost,2.0,0.0,30
vlm_bias,Flags,vhr_boost,2.0,0.2667,30
vlm_bias,Game_Boards,vhr_boost,2.0,0.2667,30
vlm_bias,Logos,vhr_boost,2.0,0.3667,30
vlm_bias,Optical_Illusion,vhr_boost,2.0,0.0,30
vlm_bias,Patterned_Grid,vhr_boost,2.0,0.1,30
vlm_bias,Animals,vhr_boost,4.0,0.0,30
vlm_bias,Chess_Pieces,vhr_boost,4.0,0.0,30
vlm_bias,Flags,vhr_boost,4.0,0.2,30
vlm_bias,Game_Boards,vhr_boost,4.0,0.3667,30
vlm_bias,Logos,vhr_boost,4.0,0.4,30
vlm_bias,Optical_Illusion,vhr_boost,4.0,0.0,30
vlm_bias,Patterned_Grid,vhr_boost,4.0,0.1,30
vlm_bias,Animals,vhr_boost,8.0,0.0,30
vlm_bias,Chess_Pieces,vhr_boost,8.0,0.0,30
vlm_bias,Flags,vhr_boost,8.0,0.1333,30
vlm_bias,Game_Boards,vhr_boost,8.0,0.6,30
vlm_bias,Logos,vhr_boost,8.0,0.4333,30
vlm_bias,Optical_Illusion,vhr_boost,8.0,0.0,30
vlm_bias,Patterned_Grid,vhr_boost,8.0,0.1,30
pope,adversarial,vhr_boost,1.0,0.8,30
pope,popular,vhr_boost,1.0,0.8,30
pope,random,vhr_boost,1.0,0.8667,30
pope,adversarial,vhr_boost,2.0,0.8,30
pope,popular,vhr_boost,2.0,0.7667,30
pope,random,vhr_boost,2.0,0.8667,30
pope,adversarial,vhr_boost,4.0,0.8,30
pope,popular,vhr_boost,4.0,0.7667,30
pope,random,vhr_boost,4.0,0.8667,30
pope,adversarial,vhr_boost,8.0,0.8,30
pope,popular,vhr_boost,8.0,0.7333,30
pope,random,vhr_boost,8.0,0.8667,30
mmbench,action_recognition,vhr_boost,1.0,0.9667,30
mmbench,attribute_comparison,vhr_boost,1.0,0.5333,30
mmbench,attribute_recognition,vhr_boost,1.0,0.9667,30
mmbench,celebrity_recognition,vhr_boost,1.0,1.0,30
mmbench,function_reasoning,vhr_boost,1.0,0.9667,30
mmbench,future_prediction,vhr_boost,1.0,0.7667,30
mmbench,identity_reasoning,vhr_boost,1.0,1.0,30
mmbench,image_emotion,vhr_boost,1.0,0.8,30
mmbench,image_quality,vhr_boost,1.0,0.5333,30
mmbench,image_scene,vhr_boost,1.0,1.0,30
mmbench,image_style,vhr_boost,1.0,0.9333,30
mmbench,image_topic,vhr_boost,1.0,0.9667,30
mmbench,nature_relation,vhr_boost,1.0,0.7,30
mmbench,object_localization,vhr_boost,1.0,0.7667,30
mmbench,ocr,vhr_boost,1.0,0.9333,30
mmbench,physical_property_reasoning,vhr_boost,1.0,0.6667,30
mmbench,physical_relation,vhr_boost,1.0,0.7,30
mmbench,social_relation,vhr_boost,1.0,0.9333,30
mmbench,spatial_relationship,vhr_boost,1.0,0.5667,30
mmbench,structuralized_imagetext_understanding,vhr_boost,1.0,0.8667,30
mmbench,action_recognition,vhr_boost,2.0,0.9667,30
mmbench,attribute_comparison,vhr_boost,2.0,0.6,30
mmbench,attribute_recognition,vhr_boost,2.0,0.9667,30
mmbench,celebrity_recognition,vhr_boost,2.0,1.0,30
mmbench,function_reasoning,vhr_boost,2.0,0.9667,30
mmbench,future_prediction,vhr_boost,2.0,0.7667,30
mmbench,identity_reasoning,vhr_boost,2.0,1.0,30
mmbench,image_emotion,vhr_boost,2.0,0.7667,30
mmbench,image_quality,vhr_boost,2.0,0.5,30
mmbench,image_scene,vhr_boost,2.0,1.0,30
mmbench,image_style,vhr_boost,2.0,0.9333,30
mmbench,image_topic,vhr_boost,2.0,0.9667,30
mmbench,nature_relation,vhr_boost,2.0,0.6667,30
mmbench,object_localization,vhr_boost,2.0,0.7667,30
mmbench,ocr,vhr_boost,2.0,0.9333,30
mmbench,physical_property_reasoning,vhr_boost,2.0,0.6667,30
mmbench,physical_relation,vhr_boost,2.0,0.6333,30
mmbench,social_relation,vhr_boost,2.0,0.9333,30
mmbench,spatial_relationship,vhr_boost,2.0,0.5667,30
mmbench,structuralized_imagetext_understanding,vhr_boost,2.0,0.8333,30
mmbench,action_recognition,vhr_boost,4.0,0.9667,30
mmbench,attribute_comparison,vhr_boost,4.0,0.5333,30
mmbench,attribute_recognition,vhr_boost,4.0,0.9333,30
mmbench,celebrity_recognition,vhr_boost,4.0,1.0,30
mmbench,function_reasoning,vhr_boost,4.0,0.9667,30
mmbench,future_prediction,vhr_boost,4.0,0.7667,30
mmbench,identity_reasoning,vhr_boost,4.0,1.0,30
mmbench,image_emotion,vhr_boost,4.0,0.7667,30
mmbench,image_quality,vhr_boost,4.0,0.5,30
mmbench,image_scene,vhr_boost,4.0,1.0,30
mmbench,image_style,vhr_boost,4.0,1.0,30
mmbench,image_topic,vhr_boost,4.0,0.9667,30
mmbench,nature_relation,vhr_boost,4.0,0.6667,30
mmbench,object_localization,vhr_boost,4.0,0.7667,30
mmbench,ocr,vhr_boost,4.0,0.8667,30
mmbench,physical_property_reasoning,vhr_boost,4.0,0.6667,30
mmbench,physical_relation,vhr_boost,4.0,0.6667,30
mmbench,social_relation,vhr_boost,4.0,0.9333,30
mmbench,spatial_relationship,vhr_boost,4.0,0.5667,30
mmbench,structuralized_imagetext_understanding,vhr_boost,4.0,0.7333,30
mmbench,action_recognition,vhr_boost,8.0,0.9667,30
