dataset,group,method,value,accuracy,n_samples
mmbench,action_recognition,vision_boost,0.25,0.9333,30
mmbench,action_recognition,vision_boost,0.5,0.9333,30
mmbench,action_recognition,vision_boost,1.0,0.9667,30
mmbench,action_recognition,vision_boost,2.0,0.9667,30
mmbench,action_recognition,vision_boost,4.0,0.9667,30
mmbench,action_recognition,vision_boost,8.0,0.9667,30
mmbench,attribute_comparison,vision_boost,0.25,0.5667,30
mmbench,attribute_comparison,vision_boost,0.5,0.5667,30
mmbench,attribute_comparison,vision_boost,1.0,0.5333,30
mmbench,attribute_comparison,vision_boost,2.0,0.5,30
mmbench,attribute_comparison,vision_boost,4.0,0.5333,30
mmbench,attribute_comparison,vision_boost,8.0,0.5667,30
mmbench,attribute_recognition,vision_boost,0.25,0.9667,30
mmbench,attribute_recognition,vision_boost,0.5,0.9667,30
mmbench,attribute_recognition,vision_boost,1.0,0.9667,30
mmbench,attribute_recognition,vision_boost,2.0,0.9667,30
mmbench,attribute_recognition,vision_boost,4.0,0.9667,30
mmbench,attribute_recognition,vision_boost,8.0,0.9333,30
mmbench,celebrity_recognition,vision_boost,0.25,1.0,30
mmbench,celebrity_recognition,vision_boost,0.5,1.0,30
mmbench,celebrity_recognition,vision_boost,1.0,1.0,30
mmbench,celebrity_recognition,vision_boost,2.0,1.0,30
mmbench,celebrity_recognition,vision_boost,4.0,1.0,30
mmbench,celebrity_recognition,vision_boost,8.0,1.0,30
mmbench,function_reasoning,vision_boost,0.25,0.9667,30
mmbench,function_reasoning,vision_boost,0.5,0.9667,30
mmbench,function_reasoning,vision_boost,1.0,0.9667,30
mmbench,function_reasoning,vision_boost,2.0,0.9667,30
mmbench,function_reasoning,vision_boost,4.0,0.9667,30
mmbench,function_reasoning,vision_boost,8.0,0.9667,30
mmbench,future_prediction,vision_boost,0.25,0.7,30
mmbench,future_prediction,vision_boost,0.5,0.7,30
mmbench,future_prediction,vision_boost,1.0,0.7667,30
mmbench,future_prediction,vision_boost,2.0,0.7667,30
mmbench,future_prediction,vision_boost,4.0,0.7,30
mmbench,future_prediction,vision_boost,8.0,0.7333,30
mmbench,identity_reasoning,vision_boost,0.25,1.0,30
mmbench,identity_reasoning,vision_boost,0.5,1.0,30
mmbench,identity_reasoning,vision_boost,1.0,1.0,30
mmbench,identity_reasoning,vision_boost,2.0,1.0,30
mmbench,identity_reasoning,vision_boost,4.0,1.0,30
mmbench,identity_reasoning,vision_boost,8.0,1.0,30
mmbench,image_emotion,vision_boost,0.25,0.7667,30
mmbench,image_emotion,vision_boost,0.5,0.7667,30
mmbench,image_emotion,vision_boost,1.0,0.8,30
mmbench,image_emotion,vision_boost,2.0,0.7667,30
mmbench,image_emotion,vision_boost,4.0,0.7667,30
mmbench,image_emotion,vision_boost,8.0,0.7667,30
mmbench,image_quality,vision_boost,0.25,0.5,30
mmbench,image_quality,vision_boost,0.5,0.5,30
mmbench,image_quality,vision_boost,1.0,0.5333,30
